Application ID,Cleaned District Name,Gender,Cleaned Gender,Residential Type,Cleaned Residential Type,Specially Abled Type,Cleaned Specially Abled Type,Enterprise Type,Cleaned Enterprise Type,Sector,Cleaned Sector,IFSC Code,Application Date,Cleaned Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Cleaned Days_to_BHD_Verification,Days_to_SBDU_Verification,Cleaned Days_to_SBDU_Verification,Days_to_DLIC_Approval,Cleaned Days_to_DLIC_Approval,Days_to_Bank_Sanction,Cleaned Days_to_Bank_Sanction,Days_to_Disbursement,Cleaned Days_to_Disbursement,Total_TAT_Days,Cleaned Total_TAT_Days,Loan Amount (Mixed Units),Cleaned Loan Amount (Mixed Units),Project Cost (Mixed Units),Project Cost,Applicant_Monthly_Income,Cleaned Applicant_Monthly_Income,Loan_Tenure_Months,Clean Loan_Tenure_Months,Interest_Rate_%,Clean Interest_Rate_%,EMI_Amount,Clean EMI_Amount,EMI_to_Income_Ratio,Clean EMI_to_Income_Ratio,Risk_Score,Clean Risk_Score,Credit_Eligibility_Score,Clean Credit_Eligibility_Score,Repayment_Status,Clean Repayment_Status,Days_Overdue
10,Kulgam,male,Male,Urban,Urban,Locomotor,Locomotor,nano entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK013021,9-20-2024,Sep 2024,1,1,0,1,1,1,1,22,22,,NA,25,25,113,113,14,14,,NA,,₹0.00,,NA,96817,96817,36,36,,NA,,NA,,NA,51,51,0.91,0.91,ONTIME,On-Time,0
11,Kathua,Female,Female,rural,Rural,Hearing,Hearing,nano entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK012532,19/9/2023,Sep 2023,1,1,1,1,1,1,1,17,17,64,64,17,17,91,91,13,13,202,202,"$38,040","₹3,423,600.00","$51,009","₹4,590,810.00",111002,111002,24,24,12.59,12.59,33856,33856,0.305,0.305,88,88,0.17,0.17,ONTIME,On-Time,175
12,Ganderbal,male,Male,,NA,Visual,Visual,nano entrepreneur,Nano Entrepreneur,IT,IT,JKBK025453,11-25-2023,Nov 2023,1,1,1,1,1,0,0,18,18,56,56,56,56,51,51,11,11,192,192,₹3292269,"₹3,292,269.00",4502k INR,"₹4,502,000.00",50678,50678,,NA,8.89,8.89,,NA,,NA,16,16,0.28,0.28,On-time,NA,25
13,Kathua,male,Male,rural,Rural,,Na,,NA,Healthcare,Healthcare,JKBK027907,,NA,1,1,0,1,1,0,0,13,13,44,44,18,18,65,65,33,33,173,173,2958k INR,"₹2,958,000.00",5826618,"₹5,826,618.00",93896,93896,48,48,9.12,9.12,,NA,,NA,71,71,0.46,0.46,Delayed,Delayed,0
14,Doda,,NA,Rural,Rural,,Na,MSME Sunrise Sector,Msme Sunrise Sector,Services,Services,JKBK027223,2023-05-27,May 2023,1,1,1,0,0,0,0,37,37,,NA,48,48,64,64,6,6,,NA,"$32,318","₹2,908,620.00",,NA,51792,51792,24,24,10.85,10.85,,NA,,NA,96,96,0.22,0.22,late,Late,0
15,Srinagar,male,Male,rural,Rural,Locomotor,Locomotor,,NA,IT,IT,JKBK057979,2023-04-07,Apr 2023,1,1,1,1,1,0,0,14,14,45,45,49,49,32,32,6,6,146,146,₹4477409,"₹4,477,409.00",6392k INR,"₹6,392,000.00",84576,84576,24,24,12.9,12.9,,NA,,NA,81,81,0.73,0.73,late,Late,0
16,Poonch,male,Male,Rural,Rural,NA,Na,nano entrepreneur,Nano Entrepreneur,Manufacturing,Manufacturing,JKBK015626,,NA,1,1,0,1,1,0,0,5,5,6,6,4,4,93,93,11,11,119,119,,₹0.00,,NA,65967,65967,12,12,13.29,13.29,,NA,,NA,12,12,,NA,ONTIME,On-Time,0
17,Srinagar,Female,Female,rural,Rural,NA,Na,Existing enterprise,Existing Enterprise,,NA,JKBK042557,7/4/2024,Jul 2024,1,1,1,1,1,0,0,25,25,78,78,54,54,87,87,38,38,282,282,,₹0.00,₹5363717,"₹5,363,717.00",84062,84062,,NA,8.64,8.64,,NA,,NA,88,88,0.61,0.61,ONTIME,On-Time,0
18,Reasi,Male,Male,Rural,Rural,Locomotor,Locomotor,Existing Enterprise,Existing Enterprise,,NA,JKBK083848,As on Feb 2026,Feb 2026,1,1,0,1,1,0,0,21,21,54,54,53,53,71,71,13,13,212,212,"$38,070","₹3,426,300.00","$49,154","₹4,423,860.00",36575,36575,18,18,11.72,11.72,,NA,,NA,4,4,0.39,0.39,late,Late,0
19,Ganderbal,Male,Male,rural,Rural,Visual,Visual,nano entrepreneur,Nano Entrepreneur,Manufacturing,Manufacturing,JKBK077603,6/12/2024,Jun 2024,1,1,0,0,0,0,0,24,24,65,65,37,37,10,10,16,16,152,152,,₹0.00,"$45,910","₹4,131,900.00",22874,22874,48,48,9.78,9.78,,NA,,NA,50,50,0.81,0.81,late,Late,0
20,Kupwara,male,Male,,NA,Visual,Visual,,NA,,NA,JKBK021950,2021-01-19,Jan 2021,1,0,0,0,0,0,0,9,9,41,41,32,32,32,32,29,29,143,143,103367,"₹103,367.00",₹117176,"₹117,176.00",10830,10830,48,48,11.3,11.3,,NA,,NA,81,81,0.9,0.9,On-time,NA,0
21,Kulgam,Female,Female,Rural,Rural,Locomotor,Locomotor,MSME Sunrise Sector,Msme Sunrise Sector,Tourism,Tourism,JKBK074773,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,,NA,31,31,45,45,109,109,33,33,,NA,"$20,344","₹1,830,960.00","$46,860","₹4,217,400.00",60775,60775,48,48,10.42,10.42,,NA,,NA,74,74,0.83,0.83,Delayed,Delayed,0
22,Ganderbal,Other,Other,Rural,Rural,Locomotor,Locomotor,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK023004,5-19-2024,May 2024,1,1,0,1,1,1,1,33,33,73,73,,NA,115,115,34,34,,NA,4644341,"₹4,644,341.00",4004k INR,"₹4,004,000.00",118085,118085,,NA,13.37,13.37,,NA,,NA,100,100,0.79,0.79,Delayed,Delayed,0
23,Pulwama,male,Male,urban,Urban,,Na,Existing Enterprise,Existing Enterprise,IT,IT,JKBK017820,2023-12-10,Dec 2023,1,0,1,1,1,0,0,17,17,,NA,,NA,32,32,,NA,,NA,"$11,201","₹1,008,090.00",,NA,,NA,18,18,13.6,13.6,,NA,,NA,4,4,0.7,0.7,Default,Default,84
24,Kishtwar,Male,Male,urban,Urban,None,Na,nano entrepreneur,Nano Entrepreneur,Agri,Agri,JKBK025888,,NA,1,1,0,1,1,1,1,6,6,84,84,4,4,88,88,33,33,215,215,1175217,"₹1,175,217.00",3115k INR,"₹3,115,000.00",,NA,60,60,10.14,10.14,,NA,,NA,36,36,0.31,0.31,ONTIME,On-Time,0
25,Reasi,Other,Other,Urban,Urban,,Na,MSME Sunrise Sector,Msme Sunrise Sector,Retail,Retail,JKBK063696,26/2/2025,Feb 2025,1,1,0,1,1,0,0,31,31,84,84,12,12,37,37,11,11,175,175,,₹0.00,366k INR,"₹366,000.00",117335,117335,,NA,13.06,13.06,,NA,,NA,31,31,0.14,0.14,ONTIME,On-Time,0
26,Kishtwar,FEMALE,Female,Rural,Rural,Hearing,Hearing,nano entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK060025,5-4-2025,May 2025,1,1,0,1,0,0,0,38,38,18,18,23,23,43,43,24,24,146,146,2366253,"₹2,366,253.00",,NA,59254,59254,48,48,9.71,9.71,,NA,,NA,89,89,0.23,0.23,late,Late,0
27,Baramulla,Other,Other,Rural,Rural,None,Na,,NA,Manufacturing,Manufacturing,JKBK031827,As on Feb 2026,Feb 2026,1,1,0,1,1,0,0,29,29,72,72,17,17,,NA,3,3,,NA,"$38,983","₹3,508,470.00",5039k INR,"₹5,039,000.00",,NA,18,18,11.22,11.22,,NA,,NA,60,60,0.89,0.89,Delayed,Delayed,0
28,Reasi,FEMALE,Female,Urban,Urban,Hearing,Hearing,Existing enterprise,Existing Enterprise,Manufacturing,Manufacturing,JKBK019317,2021-01-03,Jan 2021,1,0,0,1,1,1,1,,NA,24,24,50,50,,NA,43,43,,NA,,₹0.00,3138892,"₹3,138,892.00",94850,94850,36,36,9.12,9.12,37123,37123,0.391,0.391,30,30,0.8,0.8,Default,Default,0
29,Srinagar,male,Male,Rural,Rural,Multiple,Multiple,Existing enterprise,Existing Enterprise,Services,Services,JKBK074395,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,38,38,45,45,55,55,60,60,4,4,202,202,2454980,"₹2,454,980.00","$19,989","₹1,799,010.00",15661,15661,36,36,11.83,11.83,3496,3496,0.223,0.223,82,82,0.82,0.82,Delayed,Delayed,0
30,Ramban,Female,Female,Rural,Rural,Locomotor,Locomotor,nano entrepreneur,Nano Entrepreneur,Tourism,Tourism,JKBK062302,,NA,1,1,1,0,0,0,0,0,0,,NA,9,9,118,118,35,35,,NA,5079618,"₹5,079,618.00",6850765,"₹6,850,765.00",50244,50244,18,18,10.24,10.24,,NA,,NA,61,61,0.74,0.74,On-time,NA,0
31,Jammu,,NA,rural,Rural,,Na,Nano Entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK058342,26/4/2026,Apr 2026,1,1,1,1,1,0,0,23,23,25,25,56,56,53,53,,NA,,NA,₹4072631,"₹4,072,631.00",,NA,85174,85174,24,24,10.19,10.19,,NA,,NA,19,19,0.86,0.86,Delayed,Delayed,0
32,Samba,Other,Other,,NA,,Na,,NA,Agri,Agri,JKBK077804,2021-06-04,Jun 2021,1,1,1,1,1,1,0,30,30,41,41,18,18,9,9,,NA,,NA,4031415,"₹4,031,415.00","$25,025","₹2,252,250.00",,NA,24,24,12.12,12.12,,NA,,NA,28,28,0.17,0.17,,NA,155
33,Samba,Female,Female,,NA,Hearing,Hearing,,NA,Healthcare,Healthcare,JKBK056686,2021-12-04,Dec 2021,1,0,1,1,1,0,0,10,10,13,13,37,37,9,9,33,33,102,102,₹618405,"₹618,405.00",,NA,27723,27723,48,48,7.93,7.93,,NA,,NA,25,25,0.85,0.85,Delayed,Delayed,0
34,Reasi,,NA,Urban,Urban,Hearing,Hearing,Existing Enterprise,Existing Enterprise,Manufacturing,Manufacturing,JKBK024294,,NA,1,1,0,1,1,0,0,34,34,51,51,56,56,89,89,,NA,,NA,933k INR,"₹933,000.00",,NA,55275,55275,48,48,9.42,9.42,,NA,,NA,21,21,0.38,0.38,ONTIME,On-Time,139
35,Baramulla,Other,Other,rural,Rural,NA,Na,nano entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK059505,19/3/2026,Mar 2026,1,1,1,0,0,0,0,3,3,87,87,15,15,17,17,43,43,165,165,1465615,"₹1,465,615.00",487079,"₹487,079.00",48758,48758,18,18,6.83,6.83,,NA,,NA,23,23,0.63,0.63,Delayed,Delayed,0
36,Kulgam,male,Male,Rural,Rural,,Na,nano entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK089158,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,36,36,38,38,,NA,68,68,,NA,,NA,3332k INR,"₹3,332,000.00",3229k INR,"₹3,229,000.00",31627,31627,24,24,12.93,12.93,,NA,,NA,68,68,0.9,0.9,Default,Default,74
37,Pulwama,FEMALE,Female,Urban,Urban,Multiple,Multiple,Existing Enterprise,Existing Enterprise,IT,IT,JKBK010690,9-21-2026,Sep 2026,1,0,0,1,1,0,0,32,32,42,42,11,11,31,31,19,19,135,135,2396k INR,"₹2,396,000.00",,NA,26120,26120,18,18,8.06,8.06,,NA,,NA,20,20,0.86,0.86,late,Late,0
38,Reasi,Male,Male,Rural,Rural,NA,Na,Existing Enterprise,Existing Enterprise,,NA,JKBK056439,2025-05-20,May 2025,1,1,1,1,1,1,0,6,6,57,57,38,38,117,117,13,13,231,231,₹902103,"₹902,103.00",6802242,"₹6,802,242.00",13570,13570,48,48,7.91,7.91,3556,3556,0.262,0.262,13,13,0.38,0.38,late,Late,0
39,Jammu,Male,Male,rural,Rural,NA,Na,Existing Enterprise,Existing Enterprise,Healthcare,Healthcare,JKBK055585,As on Feb 2026,Feb 2026,1,1,0,1,1,1,0,10,10,53,53,19,19,49,49,,NA,,NA,935827,"₹935,827.00",₹3419164,"₹3,419,164.00",31905,31905,60,60,11.07,11.07,9678,9678,0.303,0.303,70,70,0.53,0.53,Default,Default,0
40,Kulgam,Other,Other,Rural,Rural,Locomotor,Locomotor,nano entrepreneur,Nano Entrepreneur,Services,Services,JKBK065453,16/8/2022,Aug 2022,1,1,0,1,1,1,1,5,5,25,25,37,37,19,19,,NA,,NA,₹3015000,"₹3,015,000.00",6403k INR,"₹6,403,000.00",41962,41962,48,48,,NA,,NA,,NA,19,19,0.52,0.52,Default,Default,156
41,Kupwara,Male,Male,Urban,Urban,Locomotor,Locomotor,,NA,IT,IT,JKBK030383,2023-02-25,Feb 2023,1,1,1,1,1,0,0,33,33,83,83,37,37,85,85,22,22,260,260,1891k INR,"₹1,891,000.00",815k INR,"₹815,000.00",47669,47669,18,18,13.96,13.96,,NA,,NA,67,67,0.25,0.25,On-time,NA,0
42,Ramban,,NA,Rural,Rural,,Na,Nano Entrepreneur,Nano Entrepreneur,Services,Services,JKBK096077,,NA,1,1,0,1,1,0,0,7,7,,NA,,NA,71,71,6,6,,NA,"$43,391","₹3,905,190.00",6133k INR,"₹6,133,000.00",31683,31683,36,36,8.17,8.17,,NA,,NA,89,89,0.82,0.82,On-time,NA,0
43,Pulwama,Female,Female,Urban,Urban,None,Na,MSME Sunrise Sector,Msme Sunrise Sector,Tourism,Tourism,JKBK080949,,NA,1,1,1,1,1,1,0,18,18,58,58,45,45,25,25,38,38,184,184,,₹0.00,,NA,77357,77357,12,12,8.93,8.93,27277,27277,0.353,0.353,40,40,0.92,0.92,Default,Default,0
44,Jammu,Male,Male,rural,Rural,Multiple,Multiple,,NA,,NA,JKBK021038,9/9/2024,Sep 2024,1,1,1,1,1,0,0,34,34,,NA,13,13,54,54,8,8,,NA,5994591,"₹5,994,591.00","$15,923","₹1,433,070.00",11986,11986,24,24,7.06,7.06,,NA,,NA,20,20,0.78,0.78,On-time,NA,0
45,Shopian,FEMALE,Female,urban,Urban,Multiple,Multiple,,NA,Manufacturing,Manufacturing,JKBK054076,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,3,3,28,28,33,33,120,120,30,30,214,214,4999663,"₹4,999,663.00",,NA,93395,93395,,NA,6.78,6.78,,NA,,NA,43,43,0.51,0.51,Delayed,Delayed,124
46,Shopian,Female,Female,Urban,Urban,Locomotor,Locomotor,Existing Enterprise,Existing Enterprise,IT,IT,JKBK054076,27/11/2021,Nov 2021,1,1,1,1,1,0,0,,NA,,NA,31,31,84,84,3,3,,NA,"$34,255","₹3,082,950.00",₹2946206,"₹2,946,206.00",32484,32484,18,18,10.01,10.01,,NA,,NA,50,50,0.69,0.69,late,Late,100
47,Budgam,FEMALE,Female,Urban,Urban,Hearing,Hearing,Nano Entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK050548,23/4/2025,Apr 2025,1,1,1,0,0,0,0,19,19,8,8,45,45,92,92,36,36,200,200,,₹0.00,"$7,356","₹662,040.00",61862,61862,18,18,12.73,12.73,,NA,,NA,70,70,0.05,0.05,late,Late,0
48,Doda,Female,Female,rural,Rural,Locomotor,Locomotor,MSME Sunrise Sector,Msme Sunrise Sector,Healthcare,Healthcare,JKBK050046,4-28-2023,Apr 2023,1,1,1,1,1,1,1,28,28,17,17,,NA,11,11,31,31,,NA,"$7,517","₹676,530.00",,NA,12942,12942,36,36,7.1,7.1,4290,4290,0.331,0.331,22,22,,NA,On-time,NA,0
49,Doda,Male,Male,,NA,Visual,Visual,Existing enterprise,Existing Enterprise,Healthcare,Healthcare,JKBK060322,2-25-2021,Feb 2021,1,1,1,1,1,0,0,11,11,10,10,,NA,36,36,33,33,,NA,₹4758521,"₹4,758,521.00",,NA,31572,31572,,NA,12.2,12.2,,NA,,NA,91,91,0.15,0.15,late,Late,0
49,Srinagar,Female,Female,rural,Rural,NA,Na,Existing enterprise,Existing Enterprise,Tourism,Tourism,JKBK017822,2022-12-20,Dec 2022,1,1,0,1,0,0,0,,NA,,NA,33,33,68,68,23,23,,NA,₹4384687,"₹4,384,687.00",₹3832012,"₹3,832,012.00",,NA,,NA,11.42,11.42,,NA,,NA,,NA,0.15,0.15,On-time,NA,0
51,Poonch,FEMALE,Female,rural,Rural,,Na,MSME Sunrise Sector,Msme Sunrise Sector,,NA,JKBK090689,3-1-2024,Mar 2024,1,1,1,1,1,0,0,25,25,,NA,29,29,82,82,31,31,,NA,316133,"₹316,133.00","$9,703","₹873,270.00",53729,53729,12,12,10.19,10.19,,NA,,NA,60,60,0.98,0.98,late,Late,0
52,Kathua,Other,Other,,NA,Multiple,Multiple,Nano Entrepreneur,Nano Entrepreneur,Tourism,Tourism,JKBK096936,11-10-2021,Nov 2021,1,1,0,1,1,1,1,27,27,31,31,33,33,82,82,,NA,,NA,4946411,"₹4,946,411.00",,NA,94096,94096,48,48,13.25,13.25,33646,33646,0.358,0.358,89,89,0.46,0.46,ONTIME,On-Time,0
53,Shopian,FEMALE,Female,Rural,Rural,Multiple,Multiple,,NA,Retail,Retail,JKBK074576,10/4/2024,Oct 2024,1,1,0,1,0,0,0,17,17,52,52,54,54,57,57,27,27,207,207,4932130,"₹4,932,130.00",₹2253204,"₹2,253,204.00",85525,85525,36,36,13.83,13.83,,NA,,NA,27,27,0.73,0.73,late,Late,0
54,Samba,FEMALE,Female,urban,Urban,Hearing,Hearing,Nano Entrepreneur,Nano Entrepreneur,IT,IT,JKBK077806,12-3-2022,Dec 2022,1,1,0,1,1,0,0,11,11,,NA,60,60,,NA,6,6,,NA,1045362,"₹1,045,362.00",2013k INR,"₹2,013,000.00",112188,112188,12,12,6.52,6.52,,NA,,NA,33,33,0.67,0.67,,NA,65
55,Udhampur,Female,Female,,NA,NA,Na,Existing enterprise,Existing Enterprise,IT,IT,JKBK089681,12/11/2023,Dec 2023,1,1,0,0,0,0,0,7,7,40,40,,NA,84,84,,NA,,NA,₹2934638,"₹2,934,638.00",6402784,"₹6,402,784.00",80261,80261,36,36,11.13,11.13,,NA,,NA,74,74,0.48,0.48,,NA,0
56,Ganderbal,Other,Other,rural,Rural,Hearing,Hearing,MSME Sunrise Sector,Msme Sunrise Sector,IT,IT,JKBK077804,14/10/2022,Oct 2022,1,1,0,1,1,1,1,20,20,31,31,22,22,104,104,27,27,204,204,"$40,050","₹3,604,500.00","$21,980","₹1,978,200.00",,NA,24,24,9.99,9.99,,NA,,NA,41,41,0.36,0.36,late,Late,120
57,Kupwara,Other,Other,,NA,,Na,Nano Entrepreneur,Nano Entrepreneur,Manufacturing,Manufacturing,JKBK061699,2023-07-13,Jul 2023,1,1,0,1,1,0,0,,NA,77,77,40,40,99,99,,NA,,NA,3466826,"₹3,466,826.00",₹2460661,"₹2,460,661.00",28822,28822,18,18,8.77,8.77,,NA,,NA,2,2,0.77,0.77,ONTIME,On-Time,0
58,Shopian,Female,Female,Urban,Urban,NA,Na,,NA,,NA,JKBK061699,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,39,39,64,64,,NA,72,72,2,2,,NA,,₹0.00,"$47,362","₹4,262,580.00",66609,66609,,NA,12.23,12.23,,NA,,NA,58,58,0.16,0.16,Default,Default,100
59,Doda,male,Male,Urban,Urban,None,Na,Existing Enterprise,Existing Enterprise,Manufacturing,Manufacturing,JKBK077989,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,,NA,68,68,50,50,118,118,24,24,,NA,,₹0.00,₹1982488,"₹1,982,488.00",11361,11361,,NA,12.59,12.59,,NA,,NA,57,57,0.79,0.79,Delayed,Delayed,0
60,Kathua,Male,Male,urban,Urban,None,Na,Existing enterprise,Existing Enterprise,Agri,Agri,JKBK016426,As on Feb 2026,Feb 2026,1,1,1,0,0,0,0,10,10,19,19,31,31,96,96,44,44,200,200,1631k INR,"₹1,631,000.00",6697101,"₹6,697,101.00",75804,75804,18,18,12.41,12.41,,NA,,NA,12,12,0.23,0.23,On-time,NA,0
61,Rajouri,FEMALE,Female,,NA,NA,Na,MSME Sunrise Sector,Msme Sunrise Sector,Retail,Retail,JKBK036760,,NA,1,1,0,1,1,1,1,21,21,37,37,4,4,31,31,3,3,96,96,"$34,571","₹3,111,390.00","$35,289","₹3,176,010.00",80722,80722,48,48,9.14,9.14,18795,18795,0.233,0.233,36,36,0.9,0.9,Default,Default,52
62,Ramban,Male,Male,Rural,Rural,None,Na,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK040914,As on Feb 2026,Feb 2026,1,0,0,0,0,0,0,19,19,53,53,17,17,94,94,7,7,190,190,3029k INR,"₹3,029,000.00","$36,487","₹3,283,830.00",43259,43259,18,18,13.9,13.9,,NA,,NA,8,8,0.62,0.62,,NA,0
63,Doda,,NA,Rural,Rural,Visual,Visual,Existing enterprise,Existing Enterprise,Services,Services,JKBK054442,2025-09-09,Sep 2025,1,1,0,1,0,0,0,6,6,13,13,44,44,45,45,44,44,152,152,2717386,"₹2,717,386.00",,NA,69938,69938,24,24,7.61,7.61,,NA,,NA,52,52,0.14,0.14,late,Late,14
63,Poonch,male,Male,,NA,,Na,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK075287,As on Feb 2026,Feb 2026,1,1,0,1,1,1,1,19,19,23,23,,NA,117,117,37,37,,NA,3492138,"₹3,492,138.00",,NA,87668,87668,24,24,9.43,9.43,16187,16187,0.185,0.185,40,40,0.51,0.51,,NA,0
65,Ramban,Other,Other,urban,Urban,Locomotor,Locomotor,,NA,Manufacturing,Manufacturing,JKBK068857,2025-11-12,Nov 2025,1,1,0,0,0,0,0,4,4,23,23,19,19,35,35,44,44,125,125,1620k INR,"₹1,620,000.00","$47,139","₹4,242,510.00",73365,73365,18,18,8.57,8.57,,NA,,NA,96,96,0.11,0.11,Default,Default,0
66,Kathua,Female,Female,Rural,Rural,Multiple,Multiple,nano entrepreneur,Nano Entrepreneur,Agri,Agri,JKBK085455,,NA,1,1,0,1,1,0,0,2,2,55,55,18,18,65,65,11,11,151,151,,₹0.00,"$10,919","₹982,710.00",65593,65593,12,12,8,8,,NA,,NA,27,27,0.32,0.32,ONTIME,On-Time,104
67,Poonch,FEMALE,Female,urban,Urban,Hearing,Hearing,,NA,Agri,Agri,JKBK030383,As on Feb 2026,Feb 2026,1,1,0,1,1,0,0,,NA,39,39,28,28,17,17,41,41,,NA,,₹0.00,309k INR,"₹309,000.00",60526,60526,48,48,11.82,11.82,,NA,,NA,96,96,0.31,0.31,Delayed,Delayed,0
